species,sci_name,mass,trophic_niche1,trophic_niche2
Prothonotary Warbler,Protonotaria citrea,14.3,Invertivore,Insessorial
Purple Finch,Haemorhous purpureus,23.3,Omnivore,Insessorial
Purple Gallinule,Porphyrio martinica,235.1,Herbivore aquatic,Terrestrial
Purple Martin,Progne subis,53.8,Invertivore,Aerial
Purple Sandpiper,Calidris maritima,65.1,Aquatic predator,Terrestrial
Pygmy Nuthatch,Sitta pygmaea,10.6,Invertivore,Insessorial
Pyrrhuloxia,Cardinalis sinuatus,35.2,Omnivore,Generalist
Razorbill,Alca torda,726,Aquatic predator,Aquatic
Red-bellied Woodpecker,Melanerpes carolinus,69.5,Omnivore,Insessorial
Red-breasted Merganser,Mergus serrator,1015.2,Aquatic predator,Aquatic
Red-breasted Nuthatch,Sitta canadensis,9.8,Omnivore,Insessorial
Red-breasted Sapsucker,Sphyrapicus ruber,54.8,Invertivore,Insessorial
Red-cockaded Woodpecker,Dryobates borealis,48,Invertivore,Insessorial
Red-eyed Vireo,Vireo olivaceus,16.1,Invertivore,Insessorial
Red-faced Cormorant,Urile urile,2117.7,Aquatic predator,Aquatic
Red-faced Warbler,Cardellina rubrifrons,8.1,Invertivore,Insessorial
Red-headed Woodpecker,Melanerpes erythrocephalus,71.6,Invertivore,Insessorial
Red-naped Sapsucker,Sphyrapicus nuchalis,48.5,Omnivore,Insessorial
Red-necked Grebe,Podiceps grisegena,1023,Aquatic predator,Aquatic
Red-shouldered Hawk,Buteo lineatus,603.7,Vertivore,Aerial
Red-tailed Hawk,Buteo jamaicensis,1101.2,Vertivore,Insessorial
Red-throated Loon,Gavia stellata,1486,Aquatic predator,Aquatic
